STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.711692702 GHz,
TABLE,Region multMatVet,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],0.000020,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,120298
CPU_CLK_UNHALTED_CORE,FIXC1,75219
CPU_CLK_UNHALTED_REF,FIXC2,65766
TEMP_CORE,TMP0,42
PWR_PKG_ENERGY,PWR0,0
PWR_PP0_ENERGY,PWR1,0.0009
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0
TABLE,Region multMatVet,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],1.970583e-05,
Runtime unhalted [s],2.773876e-05,
Clock [MHz],3101.4630,
CPI,0.6253,
Temperature [C],42,
Energy [J],0,
Power [W],0,
Energy PP0 [J],0.0009,
Power PP0 [W],46.4597,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0,
Power DRAM [W],0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.711692702 GHz,
TABLE,Region multMatMat,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],0.002979,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14865740
CPU_CLK_UNHALTED_CORE,FIXC1,8924677
CPU_CLK_UNHALTED_REF,FIXC2,7826493
TEMP_CORE,TMP0,44
PWR_PKG_ENERGY,PWR0,0.0226
PWR_PP0_ENERGY,PWR1,0.0210
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.0016
TABLE,Region multMatMat,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0030,
Runtime unhalted [s],0.0033,
Clock [MHz],3092.1872,
CPI,0.6004,
Temperature [C],44,
Energy [J],0.0226,
Power [W],7.6018,
Energy PP0 [J],0.0210,
Power PP0 [W],7.0486,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.0016,
Power DRAM [W],0.5532,
